,Section Title,Url
0,"Abroad, Ghanaians",https://www.ghanaweb.com/GhanaHomePage/diaspora/
1,AFCON,https://www.ghanaweb.com/afcon/
2,African News,https://www.ghanaweb.com/GhanaHomePage/africa/
3,Athletics,https://www.ghanaweb.com/GhanaHomePage/athletics/
4,BBC Hausa News,https://www.ghanaweb.com/GhanaHomePage/bbc/
5,BBC Pidgin News,https://www.ghanaweb.com/GhanaHomePage/bbc/ 
6,Business & Economy,https://www.ghanaweb.com/GhanaHomePage/business/
7,Coronavirus,https://www.ghanaweb.com/GhanaHomePage/coronavirus/ 
8,Crime News,https://www.ghanaweb.com/GhanaHomePage/crime/
9,Editorial News,https://www.ghanaweb.com/GhanaHomePage/editorial/
10,Entertainment,https://www.ghanaweb.com/GhanaHomePage/entertainment/
11,Health News,https://www.ghanaweb.com/GhanaHomePage/health/
12,Lifestyle,https://www.ghanaweb.com/GhanaHomePage/lifestyle/
13,Music,https://www.ghanaweb.com/GhanaHomePage/audio/
14,Political News,https://www.ghanaweb.com/GhanaHomePage/politics/
15,Regional News,https://www.ghanaweb.com/GhanaHomePage/regional/
16,Sports Section,https://www.ghanaweb.com/GhanaHomePage/SportsArchive/
17,Tabloid News,https://www.ghanaweb.com/GhanaHomePage/tabloid/
